"Type","Subline Code","Tariff","No Pass","Class","Unit","2015","2014","2013","2012","2011","2010","2009","2008","Body Type"
"BMW","PC","1","5","B","BMW X3 2.0D  A/T","0","0","0","0","2895000","2550000","2245000","1975000","SUV"
"BMW","PC","1","5","B","BMW X3 2.0D  M/T","0","0","0","0","0","0","0","1345000","SUV"
"BMW","PC","1","5","B","BMW X3 2.5I EXEC A/T","0","0","0","0","0","0","0","1580000","SUV"
"BMW","PC","1","5","C","BMW X5 3.0 D  A/T","0","0","0","0","4110000","3620000","3185000","2800000","SUV"
"BMW","PC","1","7","C","BMW X5 3.0D EXEC 7-STR A/T","0","0","0","0","0","0","0","2605000","SUV"
"BMW","PC","1","5","C","BMW X5 3.0D EXEC STEP A/T","0","0","0","0","0","0","0","2450000","SUV"
"BMW","PC","1","7","C","BMW X5 3.0D SAV 7-STR A/T","0","0","0","0","0","0","0","2355000","SUV"
"BMW","PC","1","7","C","BMW X5 3.0D SAV  A/T","0","0","0","3700000","0","0","0","2220000","SUV"
"BMW","PC","1","7","C","BMW X5 4.8I STEP A/T","0","0","0","0","0","0","0","3250000","SUV"
"BMW","PC","1","7","C","BMW X5 4.8I EXEC STEP A/T","0","0","0","0","0","0","4100000","0","SUV"
"BMW","PC","1","7","C","BMW X5 4.8I MSPO STEP A/T","0","0","0","0","0","0","4240000","0","SUV"
"BMW","PC","1","7","C","BMW X5 5.0I M SPORT A/T","0","0","0","0","0","5235000","0","0","SUV"
"BMW","PC","1","5","C","BMW X5 50I M SPORT A/T","0","0","0","0","5235000","0","0","0","SUV"
"BMW","PC","1","5","C","BMW X5 50I M 4.4 SPORT A/T","0","0","0","5810000","0","0","0","0","SUV"
"BMW","PC","1","5","C","BMW X5 M V8 A/T","0","9685000","0","0","0","0","0","0","SUV"
"BMW","PC","1","5","C","BMW X5 M  A/T","0","0","0","0","7065000","0","0","0","SUV"
"BMW","PC","1","5","C","BMW X5 M 4.4  A/T","0","0","0","7850000","0","0","0","0","SUV"
"BMW","PC","1","5","C","BMW X5 XDRIVE 30D 8 SPD A/T","0","0","0","4560000","0","0","0","0","SUV"
"BMW","PC","1","5","C","BMW X5 XDRIVE 30D  A/T","0","0","5030000","0","0","0","0","0","SUV"
"BMW","PC","1","5","C","BMW X6 M  A/T","0","0","0","0","7450000","0","0","0","SUV"
"BMW","PC","1","4","C","BMW X6 M 4.4 V8 A/T","0","10125000","0","8205000","0","0","0","0","SUV"
